                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.03667,                0.33291,                0.89529,                0.76963,                      1,                0.84251,                0.84076,                0.16525,                0.57066,                0.23023,             0.00019821,             0.00019821,             0.00019821
                     91,                0.03976,                0.39895,                0.91171,                0.76982,                      1,                0.85344,                0.85152,                0.15864,                0.51389,                0.21807,              0.0001817,              0.0001817,              0.0001817
                     92,                0.02861,                0.31719,                0.90876,                0.76958,                      1,                0.86747,                0.86391,                 0.1914,                0.55081,                0.26184,              0.0001652,              0.0001652,              0.0001652
                     93,                0.02926,                0.31174,                0.90433,                0.76957,                      1,                0.84828,                0.84718,                0.14822,                0.51975,                0.20776,              0.0001487,              0.0001487,              0.0001487
                     94,                0.03054,                 0.3092,                0.91241,                0.76941,                      1,                0.85103,                0.85005,                0.13968,                0.51984,                 0.1935,             0.00013219,             0.00013219,             0.00013219
                     95,                0.02599,                0.29847,                 0.9012,                0.76975,                      1,                0.86445,                0.86393,                0.15561,                0.50746,                0.21265,             0.00011569,             0.00011569,             0.00011569
                     96,                0.02435,                0.29706,                0.90157,                0.76947,                      1,                0.87456,                 0.8736,                0.15525,                0.51932,                0.21125,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                  0.024,                0.28814,                0.91257,                0.76955,                      1,                0.86483,                 0.8642,                0.15724,                0.53649,                0.21082,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.02292,                0.29007,                0.90379,                0.76942,                      1,                0.86084,                0.86016,                0.15184,                0.55343,                0.20608,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.02208,                0.28973,                0.90528,                0.76946,                      1,                0.87474,                  0.874,                0.15757,                0.51203,                0.21495,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 0.0213,                0.28494,                0.90288,                0.76941,                      1,                0.87305,                0.87256,                0.15574,                0.52198,                0.21214,             3.3173e-05,             3.3173e-05,             3.3173e-05
